Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
492,Rent,1067401,< 1 year,0,13,31.4,835010,0,56,0,debt consolidation,Long Term,331056,390868,19124,687,1
493,Home Mortgage,1052828,10+ years,0,5,24.6,315590,0,,0,debt consolidation,Long Term,239470,199234,4176,741,0
494,Own Home,,< 1 year,0,9,15.2,554598,0,,0,debt consolidation,Short Term,219274,224637,6202,,1
495,Home Mortgage,644765,1 year,0,16,11.3,625922,0,,0,debt consolidation,Short Term,99999999,299478,16173,736,0
496,Home Mortgage,1137568,,0,16,32,1220494,0,,0,debt consolidation,Short Term,550660,666178,35454,722,1
497,Rent,536826,< 1 year,0,9,11,295438,0,44,0,debt consolidation,Short Term,163108,165604,7426,713,0
498,Home Mortgage,2125739,8 years,0,11,22.6,953744,0,,0,debt consolidation,Short Term,447524,733894,28875,727,0
499,Home Mortgage,1042397,1 year,0,5,14.9,194018,0,,0,debt consolidation,Long Term,529672,152988,11206,720,1
500,Home Mortgage,1615494,5 years,0,10,16.9,1320594,0,,0,other,Short Term,99999999,250914,8158,747,0
501,Home Mortgage,973674,1 year,0,15,21.5,1117754,0,5,0,debt consolidation,Short Term,394592,335939,20366,703,0
502,Rent,582084,7 years,0,8,13.2,416768,0,,0,debt consolidation,Short Term,99999999,217417,8149,751,0
503,Home Mortgage,906737,10+ years,0,16,26,700150,1,51,1,debt consolidation,Long Term,450912,151164,13752,685,0
504,Rent,,10+ years,0,11,29.8,518650,0,,0,debt consolidation,Long Term,422114,310403,22521,,1
505,Home Mortgage,1623550,10+ years,0,15,18.4,555280,0,,0,debt consolidation,Long Term,437184,402363,30847,653,0
506,Rent,1346226,2 years,0,8,12.8,358886,0,,0,debt consolidation,Long Term,267212,158061,19072,698,0
507,Home Mortgage,764978,10+ years,0,14,15.9,86504,1,59,1,debt consolidation,Short Term,172832,39900,9881,725,0
508,Home Mortgage,1343167,,0,11,31.4,541596,0,17,0,debt consolidation,Long Term,311058,247912,21379,675,0
509,Rent,2015672,1 year,0,8,24,242088,0,,0,debt consolidation,Short Term,82126,157016,23180,717,0
510,Rent,615144,3 years,0,8,8.2,136004,0,39,0,debt consolidation,Short Term,141372,61199,20454,639,1
511,Home Mortgage,1950863,10+ years,0,10,14,1437612,0,,0,debt consolidation,Short Term,605836,972154,39505,746,0
512,Home Mortgage,,7 years,0,21,19.2,1256090,0,41,0,debt consolidation,Short Term,558646,485982,17489,,0
513,Home Mortgage,2242342,2 years,0,11,21.8,253022,0,24,0,home improvements,Long Term,442618,145958,17434,673,0
514,Home Mortgage,1810092,10+ years,0,25,29.3,856174,0,8,0,home improvements,Short Term,199650,465842,40275,737,0
515,Home Mortgage,1618629,6 years,0,16,19.8,949124,0,,0,debt consolidation,Long Term,763928,744287,31698,7170,1
516,Rent,1915770,2 years,0,17,15.4,654346,0,,0,debt consolidation,Short Term,99999999,413098,22031,734,0
517,Own Home,,4 years,0,5,11.4,198924,0,,0,debt consolidation,Short Term,138424,114076,10382,,0
518,Home Mortgage,,5 years,0,23,24.4,761244,0,,0,debt consolidation,Long Term,631180,409583,23607,,1
519,Home Mortgage,,10+ years,0,15,10.5,451440,0,,0,debt consolidation,Short Term,482372,213655,15574,,1
520,Home Mortgage,1360058,2 years,0,20,31.7,1106380,0,14,0,debt consolidation,Short Term,250448,540816,20174,741,0
521,Rent,,10+ years,0,9,18.4,321178,0,1,0,debt consolidation,Short Term,345972,62700,32032,,0
522,Rent,1030370,6 years,0,12,16.8,438262,0,82,0,debt consolidation,Short Term,216920,269496,15456,741,0
523,Rent,,10+ years,0,5,24.1,33682,0,,0,debt consolidation,Short Term,471526,24377,22793,,0
524,Home Mortgage,1153148,2 years,0,13,11.8,1074986,0,,0,debt consolidation,Short Term,300960,410343,20949,745,1
525,Home Mortgage,3083909,10+ years,0,8,20.4,408342,0,42,0,debt consolidation,Short Term,99999999,223592,22461,746,0
526,Home Mortgage,1300474,3 years,0,11,15,585178,0,61,0,debt consolidation,Short Term,536184,336585,21891,722,0
527,Home Mortgage,2985888,2 years,0,14,21.8,1038950,0,,0,business loan,Short Term,756294,641554,46779,746,1
528,Rent,1052220,8 years,0,9,13,365310,0,48,0,debt consolidation,Short Term,221518,167846,13153,745,0
529,Rent,1039053,10+ years,0,5,21,652124,0,,0,debt consolidation,Short Term,262504,397613,14607,742,0
530,Own Home,742691,8 years,0,12,30.4,323620,1,,1,debt consolidation,Short Term,357390,69312,10583,744,0
531,Home Mortgage,1578178,10+ years,0,22,24.7,2835976,0,42,0,debt consolidation,Long Term,343970,494741,29591,745,0
532,Home Mortgage,,9 years,0,10,42.6,200552,0,14,0,debt consolidation,Short Term,675400,131290,39528,,0
533,Rent,1358994,7 years,0,7,15.5,211442,0,,0,debt consolidation,Short Term,215798,114133,2503,725,0
534,Own Home,412072,10+ years,0,4,22.9,234256,0,,0,other,Short Term,159412,159410,5134,7450,1
535,Home Mortgage,,10+ years,0,11,13.7,107404,1,4,0,debt consolidation,Short Term,131538,82004,10530,,0
536,Rent,504412,9 years,0,7,8.6,315678,0,,0,debt consolidation,Long Term,99999999,38171,1736,709,0
537,Home Mortgage,1959698,10+ years,0,20,22.7,780472,0,,0,debt consolidation,Long Term,756382,297920,47359,717,1
538,Rent,1213036,10+ years,0,11,15.8,305448,2,,2,debt consolidation,Short Term,44594,13186,15769,749,0
539,Rent,449711,5 years,0,12,18.5,570152,0,32,0,debt consolidation,Short Term,104148,132449,7495,715,0
540,Home Mortgage,1204296,1 year,0,12,10.6,205458,0,66,0,debt consolidation,Long Term,216194,177251,20975,717,0
541,Rent,935465,10+ years,0,5,26.5,209814,1,,1,debt consolidation,Long Term,261052,9785,5652,7100,1
542,Home Mortgage,3689477,7 years,0,24,28.4,1452990,0,,0,debt consolidation,Short Term,759000,799349,55957,725,0
543,Rent,1306155,9 years,0,10,12,138204,0,41,0,debt consolidation,Short Term,219186,68875,17307,726,0
544,Home Mortgage,,2 years,0,15,22.5,0,0,,0,other,Short Term,396594,0,22556,,0
545,Rent,847685,4 years,0,8,7,258852,0,,0,debt consolidation,Long Term,435028,195168,13563,669,1
546,Home Mortgage,1724231,7 years,0,24,27.9,401302,0,11,0,debt consolidation,Long Term,325512,263416,28450,720,0
547,Rent,1386202,2 years,0,8,17,566016,0,,0,debt consolidation,Short Term,222926,430673,16288,734,0
548,Home Mortgage,,10+ years,0,18,14.1,1348556,0,,0,other,Short Term,55484,823422,66848,,0
549,Home Mortgage,869022,3 years,0,9,12.4,272690,0,,0,debt consolidation,Short Term,223608,195700,12746,739,0
550,Rent,,7 years,0,11,17.2,817850,1,11,1,debt consolidation,Short Term,157784,34618,1695,,0
551,Home Mortgage,,< 1 year,0,16,22.6,255442,0,35,0,major purchase,Short Term,332970,166991,50484,,1
552,Rent,269800,2 years,0,5,9.1,93522,0,,0,debt consolidation,Short Term,65076,44175,1781,727,0
553,Rent,1850125,10+ years,0,18,21.4,1343452,0,,0,debt consolidation,Short Term,293150,909644,32223,725,0
554,Home Mortgage,772920,6 years,0,8,14,512072,0,,0,debt consolidation,Short Term,293656,273752,14621,737,1
555,Home Mortgage,955225,4 years,0,16,16,801174,0,66,0,debt consolidation,Long Term,99999999,505799,23881,634,0
556,Home Mortgage,1826736,10+ years,0,11,24.8,582164,0,47,0,debt consolidation,Short Term,440660,161899,30446,750,0
557,Rent,1139069,10+ years,0,13,18,188188,0,19,0,debt consolidation,Long Term,432432,72010,13574,707,1
558,Own Home,1079846,,0,18,37.5,620356,0,60,0,debt consolidation,Short Term,389818,263055,20787,735,0
559,Home Mortgage,756276,10+ years,0,6,13.5,111672,0,25,0,other,Short Term,218922,26809,9958,736,0
560,Rent,1025487,1 year,0,9,11.1,439736,0,12,0,debt consolidation,Long Term,263868,232047,23415,720,1
561,Own Home,1709829,8 years,0,16,32,6230994,0,46,0,home improvements,Short Term,131978,1754308,35764,750,0
562,Home Mortgage,611781,,0,7,34.5,245498,1,,1,debt consolidation,Short Term,87648,143754,14683,739,1
563,Rent,759240,2 years,0,8,27.4,435028,0,,0,debt consolidation,Long Term,263186,317471,17209,658,0
564,Home Mortgage,964345,10+ years,0,10,26,334928,0,,0,debt consolidation,Short Term,262724,190912,19207,731,0
565,Home Mortgage,1528645,5 years,0,12,10.5,405922,0,38,0,debt consolidation,Long Term,214808,211052,18854,730,0
566,Home Mortgage,1137720,10+ years,0,19,23,1160478,0,,0,debt consolidation,Short Term,99999999,310688,19815,742,0
567,Own Home,2703092,8 years,0,5,19.9,209946,0,8,0,buy a car,Short Term,290642,58026,19665,733,0
568,Home Mortgage,2864535,2 years,0,11,23.6,1078880,0,,0,debt consolidation,Short Term,773938,744477,38910,715,0
569,Rent,,3 years,0,10,17.4,391512,0,29,0,debt consolidation,Short Term,93918,236683,15259,,1
570,Home Mortgage,562932,10+ years,0,14,22.5,228624,1,4,1,debt consolidation,Short Term,181984,72257,15434,693,1
571,Home Mortgage,1631682,10+ years,0,13,18,428252,0,54,0,debt consolidation,Long Term,532048,169024,23795,740,0
572,Rent,947530,< 1 year,0,4,11.2,259776,0,,0,debt consolidation,Long Term,241362,222319,17111,665,0
573,Home Mortgage,,10+ years,0,16,32.3,560428,0,,0,debt consolidation,Long Term,359964,444315,51407,,1
574,Rent,1667155,10+ years,0,12,29,729212,0,28,0,debt consolidation,Short Term,325358,319922,28897,734,0
575,Home Mortgage,,10+ years,0,13,19.7,877932,0,,0,debt consolidation,Short Term,343794,259312,35209,,1
576,Rent,1587298,1 year,0,14,15.6,547074,0,27,0,debt consolidation,Short Term,533434,413877,43783,715,1
577,Home Mortgage,2252089,4 years,0,12,24,559394,0,26,0,debt consolidation,Short Term,265188,272954,12856,730,0
578,Rent,562362,2 years,0,11,8,355828,0,,0,debt consolidation,Short Term,163878,123234,11669,734,0
579,Rent,,10+ years,0,12,28.2,681714,0,34,0,debt consolidation,Long Term,437184,257887,21215,,0
580,Own Home,623086,3 years,0,5,25.5,199738,0,29,0,buy a car,Short Term,108504,94183,10125,731,0
581,Home Mortgage,868053,3 years,0,15,15.8,1054768,0,,0,buy a car,Short Term,142032,103854,17216,750,0
582,Rent,1404879,8 years,0,7,16.6,309914,1,36,1,debt consolidation,Short Term,246202,171570,13112,720,0
583,Home Mortgage,1376892,< 1 year,0,12,19.3,633732,0,,0,debt consolidation,Short Term,199298,259426,25931,746,0
584,Home Mortgage,1070384,10+ years,0,8,8,323356,0,,0,debt consolidation,Long Term,470316,178448,25511,669,0
585,Home Mortgage,4772800,8 years,0,9,35.5,0,0,,0,small business,Short Term,99999999,0,2227,747,0
586,Rent,976714,5 years,0,11,13.9,387002,0,,0,debt consolidation,Short Term,221056,219583,17369,742,0
587,Home Mortgage,813086,2 years,0,19,21.1,352660,0,39,0,debt consolidation,Short Term,315282,226898,15855,7250,1
588,Rent,,10+ years,0,12,17.1,524810,0,31,0,debt consolidation,Short Term,175252,97907,18162,,0
589,Own Home,1082278,5 years,0,14,15.6,636878,0,,0,other,Long Term,216062,315723,27869,642,1
590,Own Home,931665,3 years,0,6,11.9,439934,0,24,0,debt consolidation,Long Term,323642,284962,7531,7300,1
591,Home Mortgage,,9 years,0,10,13.1,1185096,0,,0,debt consolidation,Short Term,474540,458527,29950,,0
592,Rent,1760559,4 years,2,18,16,215314,2,15,0,debt consolidation,Long Term,527208,158992,10989,693,1
593,Rent,,9 years,0,7,30.6,944152,0,,0,debt consolidation,Short Term,128876,310669,12877,,0
594,Home Mortgage,,< 1 year,0,11,25.6,577984,0,,0,debt consolidation,Long Term,500192,313481,14618,,1
595,Home Mortgage,745256,1 year,0,10,15.6,736164,0,,0,debt consolidation,Short Term,280456,384636,12607,729,0
596,Home Mortgage,,2 years,0,10,13.8,396836,0,16,0,home improvements,Long Term,264528,294747,15548,,1
597,Rent,926725,10+ years,0,8,12.2,182380,0,46,0,debt consolidation,Short Term,120186,95456,10889,744,0
598,Rent,,10+ years,0,9,11.4,349932,1,,1,debt consolidation,Short Term,178200,157453,10196,,0
599,Own Home,1265020,10+ years,0,18,11.4,1124750,0,,0,other,Long Term,448448,518719,26987,585,1
600,Rent,,10+ years,0,9,16.3,811800,0,,0,debt consolidation,Short Term,223564,617671,26259,,0
601,Home Mortgage,,8 years,0,9,13,454344,0,,0,debt consolidation,Long Term,327756,224048,5877,,0
602,Home Mortgage,5631030,1 year,0,5,17.5,0,0,,0,home improvements,Short Term,99999999,60439,15485,743,0
603,Rent,940785,10+ years,0,9,14.6,459756,0,,0,other,Short Term,99999999,158042,10066,747,0
604,Home Mortgage,2822773,1 year,0,13,29.5,3409934,0,,0,debt consolidation,Short Term,99999999,2612177,50810,727,0
605,Home Mortgage,871644,,0,12,22.5,698324,0,,0,debt consolidation,Short Term,223388,131480,21791,7350,1
606,Home Mortgage,,8 years,0,12,19.4,436370,0,30,0,debt consolidation,Short Term,438548,313177,25865,,1
607,Rent,987012,< 1 year,0,15,11.7,336270,0,69,0,debt consolidation,Short Term,99999999,94962,14476,742,0
608,Home Mortgage,,9 years,0,10,11.4,553630,1,,1,debt consolidation,Long Term,388982,316996,21277,,0
609,Rent,1002402,6 years,0,20,14,812350,0,5,0,other,Long Term,412676,337459,19881,7220,1
610,Home Mortgage,1299676,10+ years,0,6,26.5,1065548,0,,0,debt consolidation,Long Term,429968,466564,17470,732,1
611,Rent,756846,1 year,0,19,15.6,0,0,18,0,debt consolidation,Short Term,54494,7163,14948,681,0
612,Rent,1261315,3 years,0,7,11,364166,0,,0,debt consolidation,Long Term,224686,263245,16397,715,0
613,Rent,,10+ years,1,14,17.5,421784,2,31,1,debt consolidation,Short Term,338052,191976,19058,,0
614,Rent,565896,,0,7,33.8,314160,1,52,1,debt consolidation,Short Term,78628,58615,4169,725,0
615,Rent,1912920,10+ years,0,12,26.5,491942,0,4,0,debt consolidation,Long Term,620180,404472,23593,691,1
616,Rent,2125321,4 years,0,17,7.5,494098,0,,0,debt consolidation,Short Term,335588,194579,40381,722,0
617,Home Mortgage,,3 years,0,13,27.5,1304726170,0,,0,debt consolidation,Short Term,529892,1126814,5492,,0
618,Home Mortgage,1019597,2 years,0,14,18.5,307296,0,59,0,debt consolidation,Short Term,217184,149416,25660,735,0
619,Home Mortgage,2312604,5 years,0,6,17.5,379236,0,,0,debt consolidation,Short Term,303468,264974,27751,749,0
620,Home Mortgage,1862760,10+ years,0,16,19.4,1213168,0,48,0,debt consolidation,Short Term,301972,366700,26389,745,0
621,Home Mortgage,1901140,10+ years,0,6,18.4,334620,0,16,0,debt consolidation,Short Term,110066,282929,28992,731,0
622,Rent,1120848,10+ years,0,10,10.7,305206,0,,0,business loan,Short Term,99999999,158156,8967,693,0
623,Home Mortgage,1396842,10+ years,0,11,16.9,1014684,0,,0,debt consolidation,Short Term,99999999,866666,26074,734,0
624,Rent,927485,3 years,0,10,10.7,436150,0,,0,debt consolidation,Long Term,386606,294557,18550,736,0
625,Home Mortgage,1102988,5 years,0,17,15,453772,0,,0,debt consolidation,Long Term,309936,277457,18291,673,1
626,Rent,,7 years,0,6,21.5,381238,0,,0,debt consolidation,Long Term,535194,241338,5695,,1
627,Home Mortgage,2270253,10+ years,0,13,16,646096,0,,0,debt consolidation,Short Term,133672,187492,50513,722,0
628,Home Mortgage,2548432,4 years,0,17,13.5,585926,0,50,0,other,Short Term,122870,363318,52668,687,0
629,Home Mortgage,1389337,4 years,0,9,28.9,692340,0,,0,debt consolidation,Short Term,223432,452029,26861,7460,1
630,Home Mortgage,1041029,9 years,0,14,16,219120,0,63,0,debt consolidation,Short Term,219164,95000,31491,698,0
631,Rent,1085280,9 years,0,7,11.3,314160,0,,0,debt consolidation,Long Term,99999999,212724,22339,708,0
632,Rent,1162344,7 years,0,17,15.6,508970,0,62,0,debt consolidation,Short Term,246752,165718,15014,742,0
633,Home Mortgage,2574956,4 years,0,10,16.4,999240,0,,0,debt consolidation,Short Term,460394,760285,28754,749,0
634,Rent,,6 years,0,6,22.3,133496,0,40,0,buy a car,Long Term,148984,55461,1845,,0
635,Rent,1774372,4 years,0,13,13.3,697290,0,,0,debt consolidation,Short Term,388696,448039,25743,706,0
636,Rent,908903,9 years,0,7,13.3,486794,0,36,0,debt consolidation,Short Term,175406,287128,13861,708,1
637,Rent,709004,1 year,0,9,26.8,364738,0,69,0,debt consolidation,Short Term,112332,242554,9040,728,0
638,Home Mortgage,,8 years,0,6,16.3,294008,0,14,0,debt consolidation,Short Term,623392,208468,22745,,0
639,Home Mortgage,560671,,0,13,22.4,472846,0,,0,debt consolidation,Short Term,165044,169480,8223,732,0
640,Home Mortgage,,7 years,0,12,12.6,49368,1,,1,home improvements,Long Term,223806,7030,30168,,1
641,Rent,583167,5 years,0,10,14.3,416702,0,44,0,debt consolidation,Short Term,201454,218804,18030,644,1
642,Rent,891119,3 years,0,9,23.8,717420,0,42,0,debt consolidation,Short Term,332222,293683,11733,746,0
643,Rent,1395930,10+ years,0,5,12.4,172546,0,60,0,other,Short Term,75438,94335,8434,724,0
644,Home Mortgage,1538392,7 years,1,11,29,512160,1,10,0,other,Short Term,167002,207005,24871,695,0
645,Own Home,573230,7 years,0,19,20.8,1218800,0,,0,debt consolidation,Short Term,226688,451573,12515,742,0
646,Home Mortgage,,10+ years,0,8,35,984148,0,,0,debt consolidation,Long Term,346962,694412,32657,,1
647,Home Mortgage,2282736,6 years,0,17,11.4,2622268,0,,0,buy a car,Short Term,140976,883234,39568,744,0
648,Home Mortgage,1595867,6 years,0,17,32.7,2291740,0,,0,debt consolidation,Short Term,630960,750139,16225,748,0
649,Home Mortgage,,2 years,0,3,10.3,115148,0,,0,debt consolidation,Short Term,110770,81434,7244,,0
650,Rent,,8 years,0,19,14,368896,0,67,0,other,Short Term,261910,197524,23836,,1
651,Rent,373806,2 years,0,5,10.3,17314,0,16,0,other,Short Term,54098,9652,6878,697,0
652,Home Mortgage,1717942,2 years,0,23,19.9,810656,0,,0,debt consolidation,Long Term,324324,603497,35504,719,0
653,Rent,1004207,5 years,0,14,12.4,831996,0,15,0,other,Short Term,447216,262276,17490,722,0
654,Rent,1635843,9 years,0,19,15,499136,0,,0,debt consolidation,Long Term,334268,255189,20721,722,0
655,Rent,389234,7 years,0,4,21.7,175846,0,,0,debt consolidation,Short Term,99999999,110086,2472,667,0
656,Home Mortgage,1972504,< 1 year,0,14,16.3,2395228,0,,0,debt consolidation,Long Term,626956,1435602,56216,741,1
657,Home Mortgage,1294071,10+ years,0,7,21.8,368236,0,34,0,debt consolidation,Short Term,317306,205751,13803,740,0
658,Home Mortgage,2031708,1 year,0,30,16.7,2925120,0,,0,debt consolidation,Short Term,784168,714932,26920,709,0
659,Rent,,10+ years,0,9,19.1,251856,1,67,1,debt consolidation,Long Term,433840,107464,15034,,0
660,Home Mortgage,1902090,4 years,0,16,21.4,1132890,0,15,0,home improvements,Short Term,660726,630078,14377,744,0
661,Rent,832694,3 years,0,3,16.5,239646,0,,0,debt consolidation,Short Term,87142,198284,13046,733,0
662,Rent,2129919,7 years,0,8,12.6,508882,0,,0,debt consolidation,Short Term,313874,336642,24317,742,0
663,Rent,,7 years,0,15,13.8,403744,0,,0,business loan,Short Term,475002,161804,21439,,0
664,Rent,1971459,10+ years,0,8,9.9,458656,0,,0,debt consolidation,Short Term,652212,208753,25300,714,0
665,Home Mortgage,,10+ years,0,4,16.5,329274,0,13,0,other,Short Term,329120,241452,29844,,0
666,Home Mortgage,,10+ years,0,12,12.6,1169938,0,6,0,debt consolidation,Short Term,265716,697186,26614,,0
667,Rent,,,0,15,16,413820,0,,0,other,Short Term,222794,302366,18962,,1
668,Home Mortgage,1431992,1 year,0,15,22,508112,0,,0,debt consolidation,Long Term,353716,276450,21002,718,0
669,Rent,615220,6 years,0,7,12.4,245080,0,,0,other,Short Term,172700,115140,5691,714,1
670,Home Mortgage,1132704,1 year,0,5,19.7,242594,0,,0,debt consolidation,Short Term,136620,200507,18878,7060,1
671,Home Mortgage,772939,8 years,0,8,14,490710,0,,0,home improvements,Short Term,215138,233092,12302,746,1
672,Home Mortgage,,10+ years,0,10,19.8,389466,1,46,1,debt consolidation,Long Term,631576,226043,6876,,1
673,Rent,772236,1 year,0,14,13,469260,0,28,0,debt consolidation,Short Term,99999999,157244,16539,747,0
674,Rent,1125066,10+ years,0,11,16,742962,0,,0,debt consolidation,Short Term,260546,563350,25970,731,0
675,Home Mortgage,1318695,< 1 year,0,9,21.1,348700,0,31,0,debt consolidation,Short Term,671836,146965,18022,707,0
676,Own Home,,6 years,0,11,25.7,377454,0,,0,debt consolidation,Short Term,242462,262086,15220,,0
677,Home Mortgage,531943,10+ years,0,5,11,94600,0,,0,debt consolidation,Long Term,221078,86431,6915,691,0
678,Rent,,10+ years,0,9,22.5,159808,2,24,2,other,Long Term,296516,28994,18306,,1
679,Rent,1702989,10+ years,0,17,16.5,585134,0,,0,debt consolidation,Long Term,394372,440154,41156,692,0
680,Home Mortgage,1412745,10+ years,0,15,19.5,1595352,0,,0,debt consolidation,Long Term,548548,730246,18366,659,1
681,Home Mortgage,1512077,6 years,0,10,17.7,1107304,0,27,0,debt consolidation,Short Term,179564,767923,25227,743,0
682,Rent,,10+ years,0,10,20.9,369336,0,43,0,debt consolidation,Short Term,263780,221046,20970,,1
683,Rent,2100640,8 years,0,10,15.7,746614,0,11,0,debt consolidation,Short Term,247742,183122,21532,749,0
684,Home Mortgage,875102,2 years,0,6,15.4,259446,1,62,1,other,Short Term,99999999,40774,9188,746,0
685,Rent,2817510,2 years,0,6,15.2,86988,0,,0,home improvements,Short Term,178354,23826,5048,748,0
686,Rent,862866,< 1 year,0,14,9.5,904860,0,,0,debt consolidation,Short Term,159852,242250,9060,723,1
687,Home Mortgage,793212,10+ years,0,8,13.5,476784,0,,0,debt consolidation,Short Term,43736,379639,21417,694,1
688,Rent,950665,< 1 year,0,15,15.1,1082796,0,,0,debt consolidation,Short Term,99999999,492822,22658,744,0
689,Home Mortgage,,10+ years,0,21,26,658922,1,,1,debt consolidation,Short Term,177540,381273,22666,,0
690,Home Mortgage,1977254,4 years,0,7,14.8,628430,0,,0,debt consolidation,Short Term,99999999,518301,43005,737,0
691,Home Mortgage,921576,9 years,0,22,15.2,1745942,0,,0,debt consolidation,Short Term,472406,481004,11059,740,0
692,Home Mortgage,1398134,10+ years,0,11,21.3,772574,0,21,0,debt consolidation,Long Term,719202,504412,36351,682,0
693,Home Mortgage,5605950,1 year,0,12,23.1,976074,0,9,0,debt consolidation,Short Term,757306,654987,36532,719,0
694,Rent,1042397,10+ years,0,12,17,424864,1,77,1,debt consolidation,Short Term,99999999,207309,13986,729,0
695,Home Mortgage,1330931,,0,8,27.8,504548,0,37,0,debt consolidation,Short Term,484330,243143,6976,651,0
696,Home Mortgage,1303628,10+ years,0,15,19.1,747846,0,69,0,debt consolidation,Long Term,99999999,426911,15426,699,0
697,Home Mortgage,658426,10+ years,0,11,20.8,206800,0,28,0,debt consolidation,Short Term,170456,141094,6913,728,0
698,Home Mortgage,2088328,,0,8,34.6,142912,1,11,1,debt consolidation,Short Term,219824,83676,9763,739,0
699,Home Mortgage,,2 years,0,12,15.9,628650,1,,0,debt consolidation,Short Term,315524,260053,21588,,0
700,Home Mortgage,,< 1 year,0,10,12.7,867680,0,,0,debt consolidation,Long Term,546326,596486,15589,,0
701,Own Home,1021402,8 years,0,7,14.5,62172,0,29,0,other,Short Term,321332,760,5567,733,0
702,Have Mortgage,964136,8 years,0,6,17.2,85624,0,33,0,take a trip,Short Term,162228,67279,4789,689,0
703,Home Mortgage,1397070,10+ years,0,11,39.9,1440560,0,,0,home improvements,Short Term,99999999,271225,14087,748,0
704,Rent,,1 year,0,8,15.8,153802,0,14,0,debt consolidation,Short Term,219780,55917,11831,,1
705,Rent,1681272,6 years,0,8,13,837122,0,,0,debt consolidation,Short Term,305712,308712,31804,746,0
706,Home Mortgage,575016,,0,14,29.2,383812,0,,0,debt consolidation,Short Term,199738,274132,11788,708,0
707,Home Mortgage,1840245,10+ years,0,12,22.3,924044,1,,0,debt consolidation,Short Term,263604,467647,20396,747,0
708,Home Mortgage,,4 years,0,8,18.5,198088,1,,1,debt consolidation,Short Term,112464,89300,12416,,0
709,Home Mortgage,2901585,7 years,0,16,37.2,577368,0,14,0,debt consolidation,Short Term,447964,272745,28774,737,0
710,Rent,,,0,20,48.6,465190,0,46,0,debt consolidation,Short Term,102410,85576,4974,,1
711,Rent,2332440,9 years,0,3,13.8,1462076,0,,0,debt consolidation,Long Term,486134,558106,14131,689,0
712,Home Mortgage,2633400,10+ years,0,8,28.9,507672,0,,0,debt consolidation,Short Term,99999999,153026,26202,742,0
713,Home Mortgage,1016044,10+ years,0,23,35.5,2079154,0,34,0,debt consolidation,Long Term,516340,933736,18966,720,0
714,Rent,707161,7 years,0,7,9,311872,0,,0,debt consolidation,Long Term,246774,211983,17738,687,1
715,Home Mortgage,951805,7 years,0,13,11.6,255838,0,46,0,debt consolidation,Long Term,392348,174097,17450,593,1
716,Home Mortgage,2186368,3 years,0,7,14,519486,0,,0,debt consolidation,Long Term,763840,344565,28605,716,0
717,Rent,330429,,0,3,20.5,104148,0,,0,debt consolidation,Short Term,63734,67184,2029,686,1
718,Rent,1345162,6 years,0,13,10.5,730048,0,14,0,other,Long Term,529562,308940,6479,6110,1
719,Rent,663841,4 years,0,7,8.4,103774,0,,0,debt consolidation,Short Term,99396,85234,10068,714,0
720,Home Mortgage,2501616,10+ years,0,8,16.4,1053800,0,12,0,debt consolidation,Long Term,713020,797240,16281,700,0
721,Home Mortgage,1718360,8 years,0,9,13.7,1876732,0,,0,debt consolidation,Short Term,99999999,914147,27494,747,0
722,Rent,,1 year,0,17,22,556798,1,,1,debt consolidation,Long Term,336644,242839,25196,,1
723,Home Mortgage,712557,6 years,0,9,18.4,200706,0,54,0,debt consolidation,Long Term,356796,159296,11995,664,1
724,Home Mortgage,,5 years,0,9,35.4,833316,0,24,0,debt consolidation,Short Term,217822,173451,5916,,0
725,Rent,559398,,0,11,11.7,187990,0,,0,debt consolidation,Short Term,99999999,102448,3412,740,0
726,Home Mortgage,1537024,10+ years,0,9,19.9,939906,0,10,0,other,Short Term,222464,3249,13833,726,0
727,Home Mortgage,2105656,7 years,0,11,17,1109614,0,,0,debt consolidation,Short Term,435380,307610,48957,750,0
728,Home Mortgage,1510215,10+ years,0,15,26.8,680086,1,16,1,debt consolidation,Short Term,248270,312474,21143,721,0
729,Rent,990660,5 years,0,6,14.1,401544,0,,0,debt consolidation,Short Term,330902,272935,11805,740,1
730,Home Mortgage,844398,< 1 year,0,14,12.6,682594,0,,0,debt consolidation,Short Term,99999999,353704,16536,734,0
731,Home Mortgage,1751097,3 years,0,15,15.4,1358016,0,,0,debt consolidation,Long Term,763070,534812,25537,728,0
732,Rent,558999,4 years,0,15,20,1246102,0,,0,debt consolidation,Short Term,99999999,83942,12801,751,0
733,Own Home,858211,10+ years,0,13,29.2,221694,0,58,0,debt consolidation,Short Term,85976,22021,16950,699,0
734,Rent,874323,< 1 year,0,6,9.5,488290,0,,0,debt consolidation,Short Term,179982,200716,7432,706,0
735,Home Mortgage,,5 years,0,8,12.1,457072,0,39,0,debt consolidation,Short Term,289652,264480,9525,,0
736,Rent,1613062,1 year,0,25,21.5,456698,2,,2,debt consolidation,Long Term,316426,242573,15190,659,1
737,Own Home,1869980,10+ years,0,10,23.8,407044,0,36,0,debt consolidation,Short Term,142912,124450,16362,750,0
738,Rent,1527296,7 years,0,11,15.7,748792,0,8,0,debt consolidation,Short Term,99999999,254790,6644,746,0
